date,cpi_index
2020-02-01,137.402661838527
2020-03-01,137.647150560659
2020-04-01,137.647150560659
2020-05-01,137.769394921726
2020-06-01,138.013883643858
2020-07-01,137.891639282792
2020-08-01,138.013883643858
2020-09-01,138.62510544919
2020-10-01,138.869594171323
2020-11-01,140.092037781986
2020-12-01,139.725304698787
2021-01-01,140.214282143052
2021-02-01,140.825503948383
2021-03-01,140.94774830945
2021-04-01,141.069992670516
2021-05-01,141.436725753715
2021-06-01,141.92570319798
2021-07-01,142.781413725444
2021-08-01,144.126101697174
2021-09-01,145.104056585704
2021-10-01,145.348545307837
2021-11-01,146.5709889185
2021-12-01,147.671188168097
2022-01-01,148.649143056627
2022-02-01,149.382609223025
2022-03-01,150.482808472621
2022-04-01,152.560962610749
2022-05-01,154.027894943544
2022-06-01,155.49482727634
2022-07-01,157.8174701366
2022-08-01,159.977503945142
2022-09-01,161.327525075481
2022-10-01,163.75756311009
2022-11-01,164.297571562226
2022-12-01,163.892565223124
2023-01-01,163.900935309055
2023-02-01,162.811827528185
2023-03-01,162.844594606853
2023-04-01,162.689934385862
2023-05-01,163.369320116868
2023-06-01,163.476489083813
2023-07-01,164.211838467093
2023-08-01,165.980360358394
2023-09-01,166.214157125151
2023-10-01,166.535134072034
2023-11-01,166.316197825455
2023-12-01,166.517641146878
2024-01-01,166.867055207276
2024-02-01,167.071085077865
2024-03-01,167.212630068307
2024-04-01,167.656338543169
2024-05-01,167.829378041559
2024-06-01,168.539291648025
2024-07-01,169.202408392034
2024-08-01,170.38829543837
2024-09-01,170.763908442411
2024-10-01,170.679225531966
2024-11-01,168.906567731578
2024-12-01,168.958926276087
2025-01-01,168.61763917931
2025-02-01,168.482637066276
2025-03-01,168.61763917931
2025-04-01,169.157647631445
2025-05-01,169.427651857513
2025-06-01,169.562653970547
2025-07-01,171.452683553021
2025-08-01,172.80270468336
2025-09-01,173.342713135495
2025-10-01,173.747719474597
2025-11-01,174.422730039766
2025-12-01,175.772751170105
