date,headline,food,transport,housing_utilities,education,health,restaurants_hotels,communication,recreation_culture,misc_goods_services,services_proxy,headline_infl_mom_pct,headline_infl_yoy_pct,food_infl_mom_pct,food_infl_yoy_pct,transport_infl_mom_pct,transport_infl_yoy_pct,housing_utilities_infl_mom_pct,housing_utilities_infl_yoy_pct,services_proxy_infl_mom_pct,services_proxy_infl_yoy_pct
2020-02-01,101.778156467854,101.01229281768,100.240989103101,100.922211981567,102.942791762014,109.256756756757,102.753122398002,99.9350943396226,100.442344706912,100.471914132379,102.63367068261442,,,,,,,,,,
2020-03-01,101.959256390395,101.273756906077,100.419195305951,100.336589861751,102.942791762014,109.256756756757,102.935470441299,100.329056603774,101.000874890639,101.403935599284,102.97814767562782,0.17793594306081406,,0.2588438308879004,,0.1777777777778322,,-0.5802707930370854,,0.3356374089733771,
2020-04-01,101.959256390395,101.273756906077,100.419195305951,100.336589861751,102.942791762014,109.176715176715,103.026644462948,100.985660377359,101.000874890639,101.403935599284,103.08943704482648,0.0,,0.0,,0.0,,0.0,,0.10807085941106909,
2020-05-01,102.049806351665,101.36091160221,100.419195305951,100.434193548387,102.942791762014,109.256756756757,103.026644462948,100.723018867925,101.093963254593,101.403935599284,103.07451845058682,0.08880994671369713,,0.08605851979386347,,0.0,,0.09727626459150596,,-0.014471506167190729,
2020-06-01,102.230906274206,101.448066298343,100.419195305951,100.434193548387,102.942791762014,109.41683991684,103.026644462948,102.430188679245,101.093963254593,101.497137745975,103.40126097026918,0.17746228926387442,,0.08598452278629765,,0.0,,0.0,,0.3169964066715325,
2020-07-01,102.140356312936,101.36091160221,100.419195305951,100.336589861751,102.942791762014,109.256756756757,103.664862614488,102.430188679245,101.187051618548,101.683542039356,103.527532245068,-0.08857395925565559,,-0.08591065292136157,,0.0,,-0.09718172983484985,,0.12211773204113818,
2020-08-01,102.230906274206,101.883839779006,100.240989103101,100.434193548387,102.942791762014,109.576923076923,103.482514571191,103.874716981132,101.187051618548,102.149552772809,103.86892513043615,0.08865248226916922,,0.5159071367158097,,-0.17746228926358576,,0.09727626459150596,,0.3297604781692387,
2020-09-01,102.683656080558,103.016850828729,100.953813914501,100.629400921659,103.025476735317,109.576923076923,103.026644462948,102.298867924528,101.187051618548,101.590339892666,103.45088395182165,0.4428697962802097,,1.1120615911027754,,0.7111111111112844,,0.1943634596696997,,-0.40246991878420957,
2020-10-01,102.864756003098,103.278314917127,101.132020117351,101.117419354839,102.5293668955,109.897089397089,102.388426311407,102.692830188679,100.535433070866,101.776744186047,103.30331500826468,0.1763668430328602,,0.2538071065991909,,0.1765225066196363,,0.48496605237660084,,-0.14264638243758343,
2020-11-01,103.770255615802,104.934254143646,101.132020117351,101.312626728111,103.025476735317,109.977130977131,103.208992506245,102.430188679245,101.000874890639,101.869946332737,103.585435020219,0.8802816901414934,,1.603375527425821,,0.0,,0.19305019305029258,,0.2730987015583608,
2020-12-01,103.498605731991,104.237016574586,101.488432523051,101.605437788018,103.521586575134,111.577962577963,103.117818484596,101.510943396226,100.721609798775,101.963148479428,103.73551155202034,-0.2617801047120394,,-0.6644518272417965,,0.35242290748906946,,0.2890173410396324,,0.14488188592542972,
2021-01-01,103.860805577072,104.759944751381,101.488432523051,101.80064516129,103.604271548436,111.818087318087,103.208992506245,102.692830188679,100.81469816273,102.149552772809,104.04807208283101,0.34995625546774267,,0.5016722408021312,,0.0,,0.19212295869368567,,0.3013052388081583,
2021-02-01,104.313555383424,105.457182320442,101.577535624476,102.483870967742,103.852326468345,112.058212058212,103.208992506245,102.430188679245,100.256167979003,102.242754919499,104.00810710175817,0.4359197907588319,2.4911032028476443,0.6655574043263446,4.400345125107408,0.08779631255488862,1.3333333333336528,0.671140939597703,1.5473887814312137,-0.038410112049958034,1.339167166099009
2021-03-01,104.404105344694,105.195718232044,102.557669740151,102.386267281106,103.852326468345,112.058212058212,104.576602830974,103.874716981132,102.397200349956,102.708765652952,104.9113040569285,0.08680555555522496,2.397868561278882,-0.24793388429772412,3.8726333907058486,0.9649122807019905,2.1295474711628737,-0.09523809523815929,2.042801556420404,0.8683909171490534,1.877249129970715
