date,beta_fx,rho_infl
2022-02-01,0.17852627005008181,0.2466231701105031
2022-03-01,0.1794344707486761,0.25167180259913946
2022-04-01,0.22315426222761292,0.2403326068990139
2022-05-01,0.3953469503837303,0.253850244230085
2022-06-01,0.39588731341186734,0.29254264861885604
2022-07-01,0.41735389693206726,0.28526816318468884
2022-08-01,0.4217930393828002,0.2968155088814217
2022-09-01,0.4191273390403854,0.2956389953723115
2022-10-01,0.41962413294334866,0.25395013689034157
2022-11-01,0.4176100352012233,0.3296968025440829
2022-12-01,0.3695140600346319,0.2563827695556386
2023-01-01,0.42037541321047395,0.2828019511676728
2023-02-01,0.2384607927028309,0.29739537464412397
2023-03-01,0.2900365049431471,0.25052093902445566
2023-04-01,0.31588887768874174,0.1427393268051971
2023-05-01,0.3248180090990266,0.14554338292646357
2023-06-01,0.33296707164242356,0.1358105471548211
2023-07-01,0.29807605486168587,0.2041893614187842
2023-08-01,0.10699976037472803,0.5092049609047775
2023-09-01,0.11542004659463571,0.5019183579202615
2023-10-01,0.11653342367694361,0.4603251189343052
2023-11-01,0.11056208753116681,0.5089820459754513
2023-12-01,0.08781463037510508,0.5575337003692845
2024-01-01,0.08824297506375976,0.5545580934881019
2024-02-01,0.08769596271795392,0.5591560201332796
2024-03-01,0.0878601069507534,0.5656199735499325
2024-04-01,0.09339275945983233,0.5390468892065398
2024-05-01,0.09316087561802418,0.5210124365939867
2024-06-01,0.09800827258519076,0.4913977470813739
2024-07-01,0.08496861284568322,0.4265376015612428
2024-08-01,0.0833269851537471,0.3236269656979731
2024-09-01,0.08412825369808859,0.2771342099832802
2024-10-01,0.0925876019682944,0.0965181586718813
2024-11-01,0.09368110880726377,0.0765020575128075
2024-12-01,0.07859819445231123,0.22259568592306342
2025-01-01,0.09368056140994983,0.17184621160207514
2025-02-01,0.06646542853110127,0.18646550301031434
2025-03-01,0.07413978004318192,0.24164330374976234
2025-04-01,0.07049117213285255,0.23416250080972575
2025-05-01,0.06808532596375187,0.2566245550157349
2025-06-01,0.06711665650811179,0.268666924620276
2025-07-01,0.07742220571052362,0.26167926799435187
2025-08-01,-0.08848973212631492,0.22317076867480126
2025-09-01,-0.0983857752101703,0.41932071776962426
2025-10-01,-0.10646633107826124,0.3930391890519634
2025-11-01,-0.0631077806280971,0.38757342586458654
2025-12-01,-0.09163214837190402,0.39834547388618297
